t,x,y,state
1783371049.05,-1.5226,0.6696,DONE
1783371049.16,-1.5234,0.6617,DONE
1783371049.32,-1.5389,0.6886,DONE
1783371049.42,-1.5389,0.6886,DONE
1783371049.55,-1.5366,0.6850,DONE
1783371049.67,-1.5385,0.6811,DONE
1783371049.78,-1.5402,0.6910,DONE
1783371049.92,-1.5402,0.6910,DONE
1783371050.04,-1.5402,0.6910,DONE
1783371050.17,-1.5402,0.6910,DONE
1783371050.31,-1.5402,0.6910,DONE
1783371050.43,-1.5385,0.6945,DONE
1783371050.55,-1.5312,0.6631,DONE
1783371050.65,-1.5617,0.6787,DONE
1783371050.87,-1.5243,0.7269,DONE
1783371050.97,-1.5243,0.7269,DONE
1783371051.05,-1.5243,0.7269,DONE
1783371051.25,-1.5344,0.7258,DONE
1783371051.30,-1.5344,0.7258,DONE
1783371051.46,-1.5344,0.7258,DONE
1783371051.55,-1.5344,0.7258,DONE
1783371051.71,-1.5554,0.7010,SEARCH_CONE
1783371051.86,-1.5344,0.7137,DONE
1783371051.92,-1.5573,0.6932,DONE
1783371052.05,-1.5335,0.6935,DONE
1783371052.16,-1.5455,0.7038,DONE
1783371052.31,-1.5216,0.6932,DONE
1783371052.43,-1.5457,0.7154,DONE
1783371052.54,-1.5474,0.6644,DONE
1783371052.79,-1.5716,0.6641,DONE
1783371052.86,-1.5716,0.6641,DONE
1783371052.93,-1.5716,0.6641,DONE
1783371053.05,-1.5716,0.6641,DONE
1783371053.15,-1.5716,0.6641,DONE
1783371053.31,-1.5825,0.6804,DONE
1783371053.45,-1.5825,0.6804,DONE
1783371053.55,-1.5825,0.6804,DONE
1783371053.69,-1.5825,0.6804,DONE
1783371053.79,-1.5769,0.7215,DONE
1783371053.94,-1.5769,0.7215,DONE
1783371054.05,-1.5769,0.7215,DONE
1783371054.22,-1.5685,0.7236,DONE
1783371054.32,-1.5465,0.6705,DONE
1783371054.41,-1.5687,0.6725,DONE
1783371054.61,-1.5751,0.6607,DONE
1783371054.76,-1.5780,0.6752,DONE
1783371054.81,-1.5780,0.6752,DONE
1783371054.96,-1.5780,0.6752,SEARCH_CONE
1783371055.06,-1.5780,0.6752,DONE
1783371055.20,-1.5780,0.6752,DONE
1783371055.30,-1.5712,0.6120,DONE
1783371055.43,-1.6001,0.6459,DONE
1783371055.56,-1.6001,0.6459,DONE
1783371055.66,-1.6114,0.6379,DONE
1783371055.85,-1.6114,0.6379,DONE
1783371055.94,-1.6114,0.6379,DONE
1783371056.07,-1.6114,0.6379,DONE
1783371056.23,-1.6114,0.6379,DONE
1783371056.32,-1.6114,0.6379,DONE
1783371056.44,-1.5694,0.6432,DONE
1783371056.56,-1.5780,0.6554,DONE
1783371056.69,-1.5770,0.6599,DONE
1783371056.81,-1.5636,0.6682,DONE
1783371056.94,-1.5431,0.6671,DONE
1783371057.05,-1.5477,0.6661,DONE
1783371057.16,-1.5479,0.6873,DONE
1783371057.32,-1.5505,0.6838,DONE
1783371057.42,-1.5521,0.6814,DONE
1783371057.56,-1.5459,0.6742,DONE
1783371057.70,-1.5389,0.6844,DONE
1783371057.79,-1.5395,0.6969,DONE
1783371057.94,-1.5395,0.6969,DONE
1783371058.08,-1.5395,0.6969,DONE
1783371058.19,-1.5395,0.6969,DONE
1783371058.32,-1.5525,0.7145,DONE
1783371058.41,-1.5354,0.6936,DONE
1783371058.56,-1.5354,0.6936,DONE
1783371058.69,-1.5354,0.6936,DONE
1783371058.82,-1.5354,0.6936,DONE
1783371058.94,-1.6358,0.6454,DONE
1783371059.04,-1.5382,0.6952,DONE
1783371059.19,-1.5774,0.7186,DONE
1783371059.32,-1.5774,0.7186,DONE
1783371059.46,-1.5702,0.6878,SEARCH_CONE
1783371059.57,-1.5252,0.7430,DONE
1783371059.66,-1.5529,0.6910,DONE
1783371059.80,-1.5212,0.7149,DONE
1783371059.94,-1.5244,0.7213,DONE
1783371060.06,-1.5552,0.6964,DONE
1783371060.19,-1.5497,0.7114,DONE
1783371060.30,-1.5497,0.7114,DONE
1783371060.44,-1.5608,0.6806,DONE
1783371060.56,-1.5608,0.6806,DONE
1783371060.69,-1.5519,0.7026,DONE
1783371060.81,-1.5519,0.7026,DONE
1783371060.93,-1.5519,0.7026,DONE
1783371061.07,-1.5519,0.7026,DONE
1783371061.18,-1.5519,0.7026,DONE
